ts,quote,balance_estimated,pnl_24h,pnl_7d,pnl_30d,fees_24h,closed_trades_24h,win_rate_24h,profit_factor_24h
2026-03-09 07:27:26,USDT,59.59904681,-0.48895782,-4.23596828,-4.11231705,1.77886872,106,0.39622642,1.17107148
2026-03-09 07:33:18,USDT,59.50146414,-0.48639558,-4.22987426,-4.10570845,1.77630648,106,0.39622642,1.17161576
2026-03-09 07:39:11,USDT,59.39597824,-0.48683911,-4.22985789,-4.10582613,1.77675001,106,0.39622642,1.17152722
2026-03-09 07:45:03,USDT,59.37232635,-0.49241086,-4.23357479,-4.10914408,1.78232176,106,0.39622642,1.17204057
2026-03-09 07:50:57,USDT,59.35415269,-0.49264290,-4.23371865,-4.10931092,1.78255380,106,0.39622642,1.17199187
2026-03-09 07:56:48,USDT,59.32227906,-0.49210984,-4.23186127,-4.10730635,1.78202074,106,0.39622642,1.17210473
2026-03-09 08:02:43,USDT,59.42076709,-0.49418178,-4.23622664,-4.11193770,1.78409268,106,0.39622642,1.17166161
2026-03-09 08:08:34,USDT,59.45120659,-0.49525144,-4.23797504,-4.11375920,1.78516234,106,0.39622642,1.17143245
2026-03-09 08:14:32,USDT,59.41462145,-0.49423726,-4.23640182,-4.11212226,1.78414816,106,0.39622642,1.17164987
2026-03-09 08:20:24,USDT,59.06609205,-0.74968975,-4.48946685,-4.38332259,1.81449565,109,0.38532110,1.06684463
2026-03-09 08:26:14,USDT,59.16579595,-0.75060543,-4.49243995,-4.38651627,1.81541133,109,0.38532110,1.06667552
2026-03-09 08:32:03,USDT,59.13556500,-0.75089852,-4.49150735,-4.38541909,1.81570442,109,0.38532110,1.06661787
2026-03-09 08:37:54,USDT,59.29909795,-0.72599567,-4.47557580,-4.37159031,1.83765157,110,0.39090909,1.07993896
2026-03-09 08:43:45,USDT,59.26121924,-0.72579861,-4.47473710,-4.37070917,1.83745451,110,0.39090909,1.07997611
2026-03-09 08:49:42,USDT,59.26077871,-0.72567093,-4.47437727,-4.37025148,1.83732683,110,0.39090909,1.07999740
2026-03-09 08:55:34,USDT,59.37867016,-0.72828707,-4.48039120,-4.37666151,1.83994297,110,0.39090909,1.07951020
2026-03-09 09:01:30,USDT,59.35219962,-0.69776293,-4.45578446,-4.44059886,1.85840183,111,0.39639640,1.09425594
2026-03-09 09:07:25,USDT,59.38425262,-0.69987843,-4.45889762,-4.44378029,1.86051733,111,0.39639640,1.09385557
2026-03-09 09:13:22,USDT,59.35297889,-0.69889676,-4.45646021,-4.44107901,1.85953566,111,0.39639640,1.09403580
2026-03-09 09:19:14,USDT,59.47595502,-0.70159756,-4.46164028,-4.44661748,1.86223646,111,0.39639640,1.09353058
2026-03-09 09:25:02,USDT,59.56550030,-0.56695799,-4.32554333,-4.26604167,1.88796589,114,0.41228070,1.14338760
2026-03-09 09:31:01,USDT,59.58662215,-0.57187354,-4.33202089,-4.27273448,1.89288144,114,0.41228070,1.14242736
2026-03-09 09:36:52,USDT,59.56614704,-0.57217261,-4.33008280,-4.27042499,1.89318051,114,0.41228070,1.14236023
2026-03-09 09:42:41,USDT,59.63581477,-0.48012099,-4.23125082,-4.06428351,1.91490629,115,0.41739130,1.17732598
2026-03-09 09:48:33,USDT,59.63576132,-0.47664573,-4.22465568,-4.05725574,1.91143103,115,0.41739130,1.17801565
